FileName,DesArea,DesD6Area,CholArea,CholD7Area,24SHCArea,24R_S_HCD7Area,On_OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_75,14573206.84,16653565.97,2764783856.0,463166079.4,8014436.67,21984657.3,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_76,2776856.679,3943525.682,932663841.4,151923636.1,836800.6246,7732935.905,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_77,1678863.851,2425515.267,591840672.9,88607188.81,578868.1188,5028026.231,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_78,1275431.08,3360088.811,590923345.7,115272381.0,333498.7507,4324823.905,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_79,47664.21538,33362.03843,20398215.64,4919270.579,21969.5357,462816.2137,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_80,1035.318565,380812.6914,62002551.6,53484485.71,122856.1228,6473599.29,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_81,653921.7028,2027519.75,302504269.0,116820174.3,1249957.761,4634105.158,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_82,13766995.64,18546858.03,2142820591.0,374685361.0,20998583.29,32993110.75,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_83,4576066.317,3182926.855,770799743.5,99793185.37,13978236.87,13972571.1,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_84,5437940.533,4521394.241,762744733.7,129137083.8,5361193.615,5256818.798,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_85,11952114.69,9080447.211,1314306625.0,198033725.7,10939147.69,11212277.09,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_86,5959682.809,3162780.327,776314859.5,88086198.0,10791875.72,8411866.944,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_87,5489950.837,2765038.761,830970664.8,76447177.26,27779357.56,18113185.36,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_88,5622312.183,3497090.74,950716935.1,93027338.64,15408903.94,15382829.07,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_89,3637105.811,2027142.523,879343467.7,65719634.1,8804284.778,18319388.89,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_90,675279.3789,322001.0655,240081675.5,14695777.85,2035010.648,3403100.653,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_91,3118865.881,1785603.954,635786659.3,58510710.93,4774656.374,10827433.97,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_92,6567258.813,5803252.309,1001985061.0,154607782.9,1975770.434,9448254.437,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_93,2223654.56,3567697.627,524645957.5,109739292.4,398986.4316,4110434.668,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_94,1433246.354,2778325.0,508310122.0,98574113.07,373280.6172,3871717.638,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_95,368044.3883,983757.5588,216808587.9,48552026.46,66058.48072,931445.6307,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_96,8573.457626,0.0,3393124.423,1225432.853,6839.674777,359073.3769,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_97,1034.266133,0.0,14972198.36,3480104.575,45048.85507,134315.4657,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_98,6630862.462,7900371.983,1024837578.0,206065681.8,12347000.65,17807033.4,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_99,10530706.07,8904719.537,1299537213.0,213186079.0,17763585.59,20842390.59,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_100,11077172.46,9954182.584,1309606603.0,226984031.4,7766825.119,8743906.053,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_101,8158443.29,7382705.208,1076120543.0,181042531.1,13375221.83,15577864.05,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_102,2836394.863,2092015.372,491339313.1,69097899.2,5433154.601,5228294.494,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_103,6676525.964,4799249.973,993718632.5,127416281.5,14246270.3,14037272.07,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_104,6005727.887,4302634.716,1074039106.0,113430476.2,17146479.93,19808792.56,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_105,1173489.265,668763.7439,346372538.2,31255079.25,3934209.853,6146513.386,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_106,485413.9975,257730.1913,183924946.9,13584803.6,1586431.827,2733131.758,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_107,421591.4304,254662.6777,183260886.8,14148716.0,1427820.554,3027113.188,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_108,912184.1156,502734.8209,261893785.1,23845843.13,1382183.357,3856102.499,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_109,2333269.996,1796366.716,492081636.8,63970995.71,1395355.514,5525333.259,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_110,1844315.772,1893618.487,412977354.8,69676373.87,1013882.846,4132341.307,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_111,2138783.575,2910361.924,611621195.4,102129674.5,2054847.792,9217339.097,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_112,63067.31604,121311.7646,59351321.23,25110934.28,126814.7409,1780249.823,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_113,469729.9691,457502.4968,156523461.5,35664195.11,1468180.005,2389973.194,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_114,1686309.66,1190543.962,351366129.5,51639539.57,9169844.59,7502373.577,OnTissue
